作品名称,发布时间,体裁,审核状态,播放量,完播率,5s完播率,封面点击率,2s跳出率,平均播放时长,点赞量,分享量,评论量,收藏量,主页访问量,粉丝增量,数据获取时间,备注
"42岁研发总监，我的座右铭是一条笑话。 越讲越觉得其中有人生的哲理——今天，终于悟出来了。
一条笑话，三个层次，看完你就懂了。
#人生感悟 #哲学 #研发总监 #佛心自现 #老子",2026-04-22 12:51:00,1min-视频,公开,1144,0.062899,0.464942,-,0.311352,11.156797,13,0,3,2,16,0,2026-05-18 11:11,
"研发总监在用的起号工具 信息量有点多。需要的话暂停观看。工具和我一直都在进化提升。10000粉后会开源龙是数据。下期更新这段时间踩过的坑。
#AI工具 #自媒体起号 #豆包 #自媒体运营 #研发总监",2026-04-21 19:03:00,1min-视频,公开,1185,0.020305,0.25,-,0.445685,7.632714,20,0,2,3,35,3,2026-05-18 11:11,
偷得浮生半日闲，今天，我是自己。#自媒体之路就是个坚持 #做真实的自己就好 #豆包#研发总监#自媒体运营,2026-04-19 15:25:14,1min-视频,自见,0,0.052721,0.301711,-,0.362364,7.939347,10,0,6,0,36,1,2026-05-18 11:11,【隐藏视频】播放量显示0是隐藏状态，非真实数据
"我主页的第一行：三明学院 很多人看不上这四个字，觉得不是985、211，连听都没听过。 
最近很多同学私信我，说对未来迷茫，不知道学什么，怕嵌入式卷、怕AI抢饭碗。 
我就一句话：别纠结，先做起来！ 
在做的过程里找答案，比你原地想1万条路有用得多。 
我不是名校毕业，但我从来不是""想清楚了再做""，而是""先做起来""。 
我是老陈，只说真话。
关注我，少踩坑。
#迷茫 #职业规划 #成长 #研发总监 #内耗",2026-04-18 19:03:00,1min-视频,公开,38168,0.04843,0.418697,-,0.37189,7.539379,202,429,46,24,7272,44,2026-05-18 11:11,
"粉丝要给我2万学费，我直接劝他别给！ 35 岁电工想做宠物洗澡机创业，别再被培训割韭菜，创业不是退路，别拿积蓄赌！
#中年转行 #嵌入式避坑 #创业避坑 #拒绝割韭菜 #研发总监",2026-04-17 23:33:30,1min-视频,公开,1709,0.087362,0.412494,-,0.31532,7.455627,17,0,2,1,45,0,2026-05-18 11:11,
"天塌了！做抖音被半个部门同事刷到了！ 天塌了！ 
我一个研发总监，换了号、关了定位，发作品不到两天——同事：老陈，你抖音速更！ 
本以为社死，结果发现：同事刷到，反而证明我没吹牛逼。 
以后小牛逼是吹不了了，不过有同事监督，更得说真话。 
同事们，评论区报道！ 
我是老陈，只说真话。
#职场 #社死 #打工人 #研发总监 #真实",2026-04-16 20:08:56,1min-视频,自见,0,0.13094,0.481829,-,0.300531,12.247863,28,1,12,2,239,13,2026-05-18 11:11,【隐藏视频】播放量显示0是隐藏状态，非真实数据
"被豆包老师骂完，我养了只虾做运营总监 🎯 42岁研发总监，养了只虾帮我做运营 
第2期播放量翻4倍，不是内容变好了
是虾帮我找到了问题 
📌 这期学什么：
• 标题有钩子
• 开头有结果
• 节奏不拖沓 
👇 评论区留言""1""，下期手把手教你用AI做运营 
1万粉时，把虾的运营工作流完整开源 
——— 
我是老陈，搞研发19年
只说真话，不玩虚的
#中年转型#自媒体运营 #短视频干货 #研发总监 #AI工具 @豆包",2026-04-16 19:30:00,1min-视频,公开,1433,0.043272,0.490823,-,0.267022,10.808171,21,0,9,5,69,7,2026-05-18 11:11,
"被豆包老师骂完，我养了只虾做运营总监 🎯 42岁研发总监，养了只虾帮我做运营 
第2期播放量翻4倍，不是内容变好了
是虾帮我找到了问题 
📌 这期学什么：
• 标题有钩子
• 开头有结果
• 节奏不拖沓 
👇 评论区留言""1""，下期手把手教你用AI做运营 
1万粉时，把虾的运营工作流完整开源 
——— 
我是老陈，搞研发19年
只说真话，不玩虚的
#中年转型 #自媒体运营 #短视频干货 #研发总监 #AI工具",2026-04-15 20:56:56,1min-视频,自见,0,0.039514,0.499369,-,0.228247,10.558638,15,1,3,2,47,6,2026-05-18 11:11,【隐藏视频】播放量显示0是隐藏状态，非真实数据
"42岁研发总监，说说我的转型焦虑：不是不能走，是不知道往哪走 42岁，19年嵌入式研发，不是不能走，是不知道往哪走
转型期的真实困境，说给也在路上的人
#中年转型 #职场干货 #嵌入式开发 #职场焦虑 #研发总监",2026-04-14 19:05:00,1-3min视频,公开,96027,0.053531,0.454653,-,0.35534,17.163791,1486,105,339,366,7773,662,2026-05-18 11:11,
"我把豆包逼到承认：她对我说谎了 实测 AI 隐私真相，删掉聊天没用，它一直在偷偷记你
研发总监对线 AI，戳穿谎言，曝光真实后台机制
@豆包 #豆包说谎 #用户隐私 #数据安全 #用户画像 #AI",2026-04-06 23:45:58,5min+视频,公开,3750,0.009256,0.434393,1,0.298565,19.76417,63,9,13,20,49,9,2026-05-18 11:11,
